%Y-%m-%d;SBI;SPI;SII;LP25;LP40;LP60
2000-01-03;95.88;5022.86;146.264;99.81;99.71;99.55
2000-01-04;95.68;4853.06;146.266;98.62;97.93;96.98
2000-01-05;95.67;4802.81;145.543;98.26;97.36;96.11
2000-01-06;95.54;4861.37;146.099;98.13;97.2;95.88
2000-01-07;95.58;4971.8;146.009;98.89;98.34;97.53
2000-01-10;95.58;4982.29;146.357;99.19;98.79;98.21
2000-01-11;95.48;4968.49;146.314;98.95;98.48;97.8
2000-01-12;95.47;4977.76;146.275;98.91;98.42;97.71
2000-01-13;95.51;4985.22;147.094;99.2;98.81;98.24
2000-01-14;95.65;5042.25;146.94;99.79;99.68;99.52
2000-01-17;95.53;5047.21;147.126;99.91;99.9;99.88
2000-01-18;95.39;4972.39;147.224;99.42;99.23;98.98
2000-01-19;95.32;4948.53;146.636;99.29;99.04;98.7
2000-01-20;95.25;4902.95;146.367;99.14;98.8;98.34
2000-01-21;95.24;4902.42;145.966;99.07;98.73;98.27
2000-01-24;95.18;4841.11;145.992;98.9;98.42;97.79
2000-01-25;95.24;4755.05;146.093;98.69;98.04;97.21
2000-01-26;95.22;4771.43;147.393;98.81;98.24;97.51
2000-01-27;95.12;4853.21;146.911;99.16;98.83;98.4
2000-01-28;94.96;4804.86;146.803;98.86;98.43;97.87
2000-01-31;95.01;4717.22;147.053;98.7;98.17;97.53
2000-02-01;95.15;4791.86;147.149;99.22;98.88;98.48
2000-02-02;95.19;4827.56;147.506;99.45;99.22;98.97
2000-02-03;95.08;4887.15;147.31;99.48;99.36;99.21
2000-02-04;95.09;4869.56;147.029;99.56;99.48;99.43
2000-02-07;95.03;4859.41;146.859;99.42;99.31;99.2
2000-02-08;95.09;4867.8;146.41;99.6;99.54;99.51
2000-02-09;95.1;4807.2;146.714;99.32;99.09;98.84
2000-02-10;95;4781.58;146.556;99.19;98.96;98.72
2000-02-11;94.95;4778.65;146.413;98.99;98.67;98.28
2000-02-14;94.97;4754.87;146.014;99.06;98.72;98.33
2000-02-15;94.82;4686.02;146.766;98.68;98.21;97.66
2000-02-16;94.54;4747.6;145.873;98.54;98.14;97.65
2000-02-17;94.62;4799.34;145.656;98.74;98.4;97.99
