%Y-%m-%d;SPI85;SBI85;SXI85;IBOR85;LPP25P;LPP40P;LPP60P;MSCIW.USD;CHF.USD;WTI.USD;CFNAI.CUM
1984-12-31;648.68;34.82;47.55;100;247.87;211.17;174.27;291.61;2.5602;25.43;100
1985-01-31;688.86;34.95;47.77;100.427;254.72;219.45;184.01;307.64;2.659;25.64;99.8202
1985-02-28;687.74;34.78;47.82;100.902;256.38;222.45;188.32;308.16;2.8045;27.27;99.8401
1985-03-29;687.74;34.86;48.2;101.3862;255.2;220.34;185.28;318.78;2.8033;28.24;100.3406
1985-04-30;710.31;35.19;48.37;101.8413;257.4;222.13;186.38;317.82;2.5948;28.81;100.01
1985-05-31;735.61;35.4;48.56;102.2748;263.23;228.79;193.82;334.08;2.615;27.62;100.441
1985-06-28;774.99;35.52;49.08;102.7147;265.44;231.14;196.28;339.95;2.5721;27.14;99.8701
1985-07-31;786.84;35.68;49.91;103.1478;261.65;225.7;188.91;346.88;2.406;27.33;99.5212
1985-08-30;833.42;35.97;50.2;103.5456;265.83;229.92;192.89;349.64;2.2962;27.76;100.1601
1985-09-30;796.44;36.13;50.94;103.9393;264.25;227.08;188.83;352.16;2.3359;28.29;100.4711
1985-10-31;881.13;36.38;52.01;104.3305;269.14;233.17;195.77;371.02;2.1692;29.54;100.1601
1985-11-29;940.52;36.5;53.33;104.6825;273.23;237.87;200.93;391.67;2.1306;30.81;100.6119
1985-12-31;1018.32;36.87;55.38;105.0468;279.93;245.42;209.06;409.91;2.1042;27.23;101.0353
1986-01-31;971.1;37.2;55.08;105.4056;279.85;244.37;207.11;415.87;2.066;22.95;101.7858
1986-02-28;954.77;37.61;56.16;105.7471;281.58;245.58;207.87;453.23;1.9547;15.44;101.0454
1986-03-31;1025.53;37.86;55.5;106.0903;291.58;258.16;223.28;497.42;1.915;12.62;100.8435
1986-04-30;1052.74;37.9;55.37;106.452;291.98;258.25;222.69;510.97;1.9016;12.85;101.3896
1986-05-30;1083.96;37.9;55.11;106.842;293.4;260.52;225.99;509.37;1.8538;15.44;101.2072
1986-06-30;1017.04;37.81;54.71;107.2902;291.11;257.6;222.43;529.67;1.8406;13.47;101.005
1986-07-31;942.28;37.98;54.24;107.7243;286.7;251.1;213.97;533.80;1.7445;11.58;101.5215
1986-08-29;1038.65;38.39;55.28;108.109;295.29;261.25;225.39;580.30;1.6616;15.09;101.5824
1986-09-30;997.99;38.39;55.59;108.4826;291.58;256.14;218.79;557.09;1.6537;14.91;102.2346
1986-10-31;1046.82;38.68;56.39;108.8382;296.55;261.65;224.72;547.38;1.6433;14.85;102.0916
1986-11-28;1083.8;38.92;57.24;109.188;298.36;263.52;226.58;570.39;1.6858;15.21;102.2448
1986-12-31;1084.76;39.04;57.71;109.5726;299.7;264.74;227.76;581.61;1.6647;16.08;103.3137
1987-01-30;1049.7;39.41;58.37;109.9047;303.01;268.15;231.49;649.78;1.5616;18.66;102.4803
1987-02-27;1007.2;39.54;58.84;110.2341;304.66;270.18;234.11;671.05;1.5403;17.73;104.2477
1987-03-31;1024.1;39.66;59.27;110.5943;307.89;274.15;239.11;712.44;1.5391;18.31;104.54
1987-04-30;1006.1;39.82;59.98;110.9306;308.91;275.45;240.8;754.05;1.4959;18.64;105.0115
1987-05-29;1001.4;40.03;60.21;111.2757;312.22;279.1;244.95;754.93;1.4705;19.42;105.7281
1987-06-30;1045.5;40.11;60.6;111.639;313.8;281.21;247.4;754.32;1.5085;20.03;106.0881
1987-07-31;1121.7;40.35;61.24;111.9871;318.44;287.14;254.43;769.22;1.5365;21.36;106.9937
1987-08-31;1127;40.35;60.86;112.3328;319.62;289.09;257.47;814.51;1.5364;20.27;107.4763
1987-09-30;1173.2;40.11;60.91;112.6796;319.94;290.3;259.5;800.15;1.5029;19.53;108.1555
1987-10-30;884.3;40.11;59.17;113.0804;301.43;263.76;224.29;664.11;1.494;19.85;109.4393
